# ran on: 2022-07-28
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# J1 = 2.6907 +/- 0.0037
# J2 = 1.6889 +/- 0.0038
# A = 3.0000 +/- 0.0361
# measured saturation field = 3.03 T
# fit saturation field = 2.95 T
# Ms = 1.38e+03 kA/m
# Mr = 1.25e-01 kA/m
# Mr/Ms = 9.09e-05
# theta_data = 180.0
# theta_model = 142.8
# theta = 161.4
# red chisq = 15.732 +/- 0.054
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
0.000000000000000000e+00,3.856474763673552464e-01,4.387840046049362730e-01,-5.313652823758102661e-02
1.000000000000000021e-02,4.897155754710322828e-01,4.655569762528116162e-01,2.415859921822066658e-02
2.000000000000000042e-02,5.203906443067314314e-01,4.888709454550684286e-01,3.151969885166300278e-02
2.999999999999999889e-02,5.380848061069982702e-01,5.097123090149283664e-01,2.837249709206990378e-02
4.000000000000000083e-02,5.522580029270662827e-01,5.286862080880899706e-01,2.357179483897631211e-02
5.000000000000000278e-02,5.668129911305291868e-01,5.461854312202789608e-01,2.062755991025022606e-02
5.999999999999999778e-02,5.800529201245203659e-01,5.624819812493007110e-01,1.757093887521965492e-02
7.000000000000000666e-02,5.890507226363441706e-01,5.777677536938010672e-01,1.128296894254310345e-02
8.000000000000000167e-02,6.025027579544436351e-01,5.921907613081767163e-01,1.031199664626691881e-02
8.999999999999999667e-02,6.112460328773373641e-01,6.058757343573765164e-01,5.370298519960847727e-03
1.000000000000000056e-01,6.202014141243393786e-01,6.189745625216033220e-01,1.226851602736056535e-03
1.100000000000000006e-01,6.317444925254636079e-01,6.314365902060420366e-01,3.079023194215713133e-04
1.199999999999999956e-01,6.422694605708676452e-01,6.433850346909323337e-01,-1.115574120064688479e-03
1.300000000000000044e-01,6.531337987348450058e-01,6.548697708400802453e-01,-1.735972105235239482e-03
1.400000000000000133e-01,6.602226443296933533e-01,6.659333821575023071e-01,-5.710737827808953782e-03
1.499999999999999944e-01,6.701112934027723123e-01,6.766122232141705828e-01,-6.500929811398270530e-03
1.600000000000000033e-01,6.818240568631831477e-01,6.869376228695529552e-01,-5.113566006369807404e-03
1.700000000000000122e-01,7.050329830902676287e-01,6.969368032684073455e-01,8.096179821860283177e-03
1.799999999999999933e-01,7.172972229933602950e-01,7.066335943520172247e-01,1.066362864134307031e-02
1.900000000000000022e-01,7.234103794973103518e-01,7.160489967072352080e-01,7.361382790075143845e-03
2.000000000000000111e-01,7.373290487284480665e-01,7.252016302190689157e-01,1.212741850937915089e-02
2.099999999999999922e-01,7.467934851533103435e-01,7.341080955477461423e-01,1.268538960556420125e-02
2.200000000000000011e-01,7.547307560445921659e-01,7.427832682209397630e-01,1.194748782365240292e-02
2.300000000000000100e-01,7.623710780821224553e-01,7.512405400431589886e-01,1.113053803896346672e-02
2.399999999999999911e-01,7.692053960880408381e-01,7.594920188852340992e-01,9.713377202806738886e-03
2.500000000000000000e-01,7.739610721176970465e-01,7.675486952774253080e-01,6.412376840271738487e-03
2.600000000000000089e-01,7.811347602421887526e-01,7.754205822901250045e-01,5.714177952063748123e-03
2.700000000000000178e-01,7.861025425959535795e-01,7.831168337434573079e-01,2.985708852496271604e-03
2.800000000000000266e-01,7.929368606018719623e-01,7.906458447020558999e-01,2.291015899816062351e-03
2.899999999999999800e-01,7.993045446947518728e-01,7.980153373866945010e-01,1.289207308057371826e-03
