# ran on: 2022-08-08
# method = continuous (https://github.com/Elliot-Wadge/MagnetizationFitting)
# Ms = 1375.83 kA/m
# Mr/Ms = 0.2803
# J1 = 2.6907 +/- 0.0037 mJ/m^2
# J2 = 1.6889 +/- 0.0038 mJ/m^2
# A = 3.0000 +/- 0.0361 * 10 pJ/m
# theta from data = 147.44 degrees
# theta from model = 120.00 degrees
# average theta = 133.72 degrees
# measured saturation field = 3.030 T
# model saturation field = 2.950 T
# red chisq = 6.733 +/- 0.054
# standard deviation = 0.001411
# 
# Field (T),Mag (Data) (kA/m),Mag (Model) (kA/m),Residuals(kA/m)
0.000000000000000000e+00,3.856474763673552464e-01,4.387840007245095708e-01,-5.313652435715435218e-02
1.000000000000000021e-02,4.897155754710322828e-01,4.655569728921906125e-01,2.415860257884167375e-02
2.000000000000000042e-02,5.203906443067314314e-01,4.888709424668479242e-01,3.151970183988352103e-02
2.999999999999999889e-02,5.380848061069982702e-01,5.097123063117535713e-01,2.837249979524470583e-02
4.000000000000000083e-02,5.522580029270662827e-01,5.286862056139368660e-01,2.357179731312941673e-02
5.000000000000000278e-02,5.668129911305291868e-01,5.461854289364637127e-01,2.062756219406550184e-02
5.999999999999999778e-02,5.800529201245203659e-01,5.624819791276672865e-01,1.757094099685310717e-02
7.000000000000000666e-02,5.890507226363441706e-01,5.777677517147964403e-01,1.128297092154771815e-02
8.000000000000000167e-02,6.025027579544436351e-01,5.921907594528932339e-01,1.031199850155040121e-02
8.999999999999999667e-02,6.112460328773373641e-01,6.058757326126701370e-01,5.370300264667206280e-03
1.000000000000000056e-01,6.202014141243393786e-01,6.189745608767194263e-01,1.226853247619965302e-03
1.100000000000000006e-01,6.317444925254636079e-01,6.314365886519417437e-01,3.079038735219050875e-04
1.199999999999999956e-01,6.422694605708676452e-01,6.433850332200375943e-01,-1.115572649169960847e-03
1.300000000000000044e-01,6.531337987348450058e-01,6.548697694459055807e-01,-1.735970711060626052e-03
1.400000000000000133e-01,6.602226443296933533e-01,6.659333808344447547e-01,-5.710736504751384897e-03
1.499999999999999944e-01,6.701112934027723123e-01,6.766122219573450502e-01,-6.500928554572764882e-03
1.600000000000000033e-01,6.818240568631831477e-01,6.869376216746638786e-01,-5.113564811480733434e-03
1.700000000000000122e-01,7.050329830902676287e-01,6.969368021316516559e-01,8.096180958615941531e-03
1.799999999999999933e-01,7.172972229933602950e-01,7.066335932700015254e-01,1.066362972335868631e-02
1.900000000000000022e-01,7.234103794973103518e-01,7.160489956769165998e-01,7.361383820393684399e-03
2.000000000000000111e-01,7.373290487284480665e-01,7.252016292377027051e-01,1.212741949074536141e-02
2.099999999999999922e-01,7.467934851533103435e-01,7.341080946128449858e-01,1.268539054046538377e-02
2.200000000000000011e-01,7.547307560445921659e-01,7.427832673302386945e-01,1.194748871435353209e-02
2.300000000000000100e-01,7.623710780821224553e-01,7.512405391945874422e-01,1.113053888753496104e-02
2.399999999999999911e-01,7.692053960880408381e-01,7.594920180768907070e-01,9.713378011150120700e-03
2.500000000000000000e-01,7.739610721176970465e-01,7.675486945075604694e-01,6.412377610136602187e-03
2.600000000000000089e-01,7.811347602421887526e-01,7.754205815571216798e-01,5.714178685066979152e-03
2.700000000000000178e-01,7.861025425959535795e-01,7.831168330458153637e-01,2.985709550138211914e-03
2.800000000000000266e-01,7.929368606018719623e-01,7.906458440383828945e-01,2.291016563489048277e-03
2.899999999999999800e-01,7.993045446947518728e-01,7.980153367556913624e-01,1.289207939060482916e-03
